client_id,client_name,dob,primary_adviser_id,onboarded_date,client_segment
C00436,Jack Smith,1984-06-20,A029,2023-10-30,Private
C00437,Poppy Hall,1966-06-19,A013,2023-07-12,Retail
C00438,Jack Jones,2002-03-23,A046,2025-04-15,Retail
C00439,Poppy Wilson,1963-05-21,A035,2024-02-01,Retail
C00440,Sophia King,1992-12-26,A006,2022-07-27,Retail
C00441,Noah Robinson,2000-08-14,A069,2025-08-18,Corporate
C00442,Jacob Hall,1987-06-18,A047,2024-06-30,Retail
C00443,Jamie Moore,1956-08-20,A025,2024-10-25,Corporate
C00444,Freya Young,1987-07-13,A066,2024-06-05,Retail
C00445,Taylor Young,1982-09-16,A010,2021-09-01,Retail
C00446,Olivia Clarke,1971-03-04,A056,2021-09-21,Retail
C00447,Ava Walker,1974-03-20,A030,2021-07-18,Private
C00448,Charlie Brown,1985-08-28,A005,2023-03-18,Retail
C00449,Rosie Wilson,1998-08-17,A033,2023-02-04,Private
C00450,Ava Clarke,1972-03-23,A065,2025-06-16,Private
C00451,George Young,1975-04-29,A018,2022-11-26,Retail
C00452,Cameron Lewis,1967-05-05,A049,2024-02-17,Corporate
C00453,Evie Wright,1968-11-25,A011,2023-01-19,Private
C00454,Jordan Robinson,1961-12-03,A026,2025-03-27,Private
C00455,Taylor Walker,1981-07-15,A063,2021-10-23,Retail
C00456,Riley Walker,1964-01-28,A059,2022-02-12,Retail
C00457,Morgan Lewis,2000-07-18,A027,2024-05-18,
C00458,Rosie King,2003-06-05,A049,2023-11-09,Retail
C00459,Evie Smith,2002-03-28,A077,2023-04-03,Retail
C00460,Charlie Wright,1958-05-21,A033,2023-10-22,Private
C00461,Amelia Clarke,1985-03-19,A001,2021-03-24,Retail
C00462,Jordan Thompson,1966-10-04,A021,2021-04-03,Retail
C00463,Grace Harris,2008-07-31,A055,2021-03-21,Corporate
C00464,Oliver Young,1988-10-18,A006,2021-10-08,Private
C00465,Noah Robinson,1968-11-02,A069,2025-01-01,Retail
C00466,Poppy Jones,1969-07-22,A005,2022-11-14,Private
C00467,Sam Hall,1971-03-23,A003,2025-07-05,Retail
C00468,Harry Taylor,1969-11-07,A053,2023-08-29,Retail
C00469,Jacob Green,1994-04-07,A023,2023-11-30,Private
C00470,Amelia Young,1958-12-02,A053,2023-07-25,Retail
C00471,Morgan Smith,1991-11-11,A037,2021-11-02,Retail
C00472,Noah Scott,1987-09-07,A074,2024-05-26,Retail
C00473,Ella White,1976-04-23,A074,2023-11-22,Retail
C00474,George Wilson,1994-11-07,A017,2021-10-14,
C00475,Cameron Wright,1980-07-24,A078,2022-11-03,Retail
C00476,Alex Wright,1995-04-11,A073,2024-06-09,Private
C00477,Freya Williams,1975-12-29,A001,2022-10-15,Private
C00478,Chris Brown,2002-11-28,A051,2021-11-29,Retail
C00479,Amelia Brown,1976-06-16,A045,2023-03-16,Retail
C00480,Noah Taylor,1982-10-06,A077,2024-06-16,Retail
C00481,Sophia Green,1997-01-28,A004,2025-02-23,Retail
C00482,Grace Hall,1972-05-28,A062,2025-09-22,Private
C00483,Freya Young,1988-01-01,A065,2022-09-05,
C00484,Sophia White,2006-03-05,A032,2024-04-30,Retail
C00485,Amelia Wright,1994-07-12,A034,2022-11-20,Private
C00486,Casey Lewis,1996-06-02,A072,2023-11-05,Private
C00487,Sam Scott,1980-04-12,A039,2025-08-24,Private
C00488,Grace Taylor,1989-04-05,A026,2023-11-10,Retail
C00489,Rosie Williams,2000-02-13,A034,2023-12-27,
C00490,Riley Clarke,2002-04-27,A054,2023-10-01,Retail
C00491,Ava King,1992-07-23,A003,2024-12-22,Retail
C00492,Riley Smith,1969-07-16,A968,2024-02-27,Private
C00493,Cameron Green,1972-11-30,A012,2022-09-06,Private
C00494,Evie Moore,2009-03-31,A065,2023-08-31,Private
C00495,Jack Young,1967-06-02,A054,2025-07-29,Private
C00496,Rosie Taylor,1977-06-06,A005,2021-02-04,Retail
C00497,Amelia Wright,1959-09-06,A057,2023-01-25,Private
C00498,Sophia Harris,1998-02-11,A017,2022-11-10,Retail
C00499,Ava Wright,1988-04-20,A047,2024-10-11,Retail
C00500,Poppy Wright,2004-10-01,A023,2021-08-13,Retail
C00501,Isla Robinson,1964-03-15,A079,2023-05-04,Retail
C00502,Jacob Walker,2001-04-14,A014,2024-04-10,Retail
C00503,Rosie Thompson,1966-03-09,A066,2022-09-23,Corporate
C00504,George White,1980-07-28,A075,2025-06-20,Retail
C00505,Jack Lewis,1962-07-11,A051,2025-01-25,Retail
C00506,Chris Clarke,1969-05-20,A038,2025-11-22,Retail
C00507,Jordan Walker,1979-06-22,A064,2024-11-10,Private
C00508,Mia Young,1995-04-24,A038,2024-07-12,Retail
C00509,George Lewis,2001-01-20,A050,2021-02-24,Private
C00510,Isla Taylor,1968-03-21,A030,2024-05-07,Retail
C00511,Sophia Jones,1994-04-01,A079,2023-08-30,Private
C00512,Casey King,1963-03-25,A051,2022-06-28,Retail
C00513,Jack Walker,1974-12-02,A063,2024-09-04,Private
C00514,Rosie Brown,1995-06-22,A052,2025-05-23,Private
C00515,Rosie Robinson,1986-05-13,A038,2025-05-09,Retail
C00516,Morgan King,1957-05-23,A079,2024-03-30,Retail
C00517,Jacob Robinson,1992-03-22,A030,2024-03-28,Retail
C00518,Alex Taylor,1959-10-12,A051,2022-04-12,Retail
C00519,Freya Taylor,1990-07-27,A005,2025-01-17,Retail
C00520,Taylor Young,2000-01-14,A029,2021-04-16,Private
C00521,Ella Hall,1988-07-19,A004,2024-04-10,
C00522,Ava Scott,1976-02-25,A010,2023-09-11,Retail
C00523,George Lewis,1989-08-23,A056,2021-12-16,Retail
C00524,Noah Williams,1962-04-28,A017,2023-12-10,Retail
C00525,Rosie Walker,1988-08-20,A074,2024-07-12,
C00526,Rosie Wright,1975-02-22,A017,2025-01-16,Retail
C00527,Isla Walker,1957-07-12,A069,2024-06-23,Private
C00528,Noah Young,1983-08-04,A034,2025-05-06,Private
C00529,Rosie Wright,1963-11-21,A006,2025-09-19,Private
C00530,Jordan Scott,1985-01-29,A053,2023-02-18,Private
C00531,Taylor White,1968-02-07,A066,2021-10-30,Retail
C00532,Noah Green,1967-05-06,A077,2025-08-10,Corporate
C00533,Chris Williams,1958-06-09,A043,2024-10-26,Retail
C00534,Freya Brown,1980-09-26,A075,2022-05-12,Retail
C00535,Poppy Brown,1997-05-21,A023,2021-03-06,
C00536,Amelia Wilson,1967-06-14,A055,2024-03-18,Corporate
C00537,George Green,1997-01-31,A080,2024-12-05,Private
C00538,Leo Smith,1995-03-31,A075,2021-08-14,Retail
C00539,Jordan Walker,1955-06-22,A016,2022-01-26,
C00540,Ella Jones,1962-02-09,A008,2021-02-08,Corporate
C00541,Cameron Harris,1956-09-14,A004,2023-06-23,Retail
C00542,Olivia Clarke,1977-12-17,A004,2022-10-05,Private
C00543,Casey White,1974-05-07,A056,2023-05-08,Private
C00544,Grace Clarke,1968-05-31,A025,2021-11-07,Retail
C00545,Jack Wilson,2004-03-27,A067,2023-04-26,Retail
C00546,Jamie Wilson,2009-08-16,A067,2024-11-15,Retail
C00547,Taylor Scott,2002-05-08,A027,2022-02-22,Retail
C00548,Rosie Lewis,1992-12-21,A032,2023-04-21,Private
C00549,Oliver White,1964-12-22,A050,2023-10-25,Retail
C00550,Sophia Moore,1980-11-05,A061,2025-05-07,Private
C00551,Casey White,1976-04-26,A051,2024-06-06,Retail
C00552,Amelia Hall,1982-01-07,A019,2023-08-24,Corporate
C00553,Amelia Hall,1965-12-06,A021,2025-11-23,Retail
C00554,Charlie Smith,1959-04-14,A005,2025-10-04,Retail
C00555,Leo Robinson,1976-05-23,A042,2025-02-15,Retail
C00556,Leo Green,1992-08-30,A061,2025-01-29,Private
C00557,Charlie Wright,1996-01-04,A991,2021-05-08,Private
C00558,Jamie Williams,1960-08-20,A021,2024-12-16,Private
C00559,Amelia Harris,1964-12-11,A070,2021-10-10,Retail
C00560,Jack Green,1999-11-04,A001,2023-11-29,Retail
C00561,Noah Clarke,2008-07-14,A005,2022-03-01,Retail
C00562,George Hall,2003-02-03,A012,2024-02-23,Retail
C00563,Amelia Green,1956-06-22,A046,2022-10-28,Retail
C00564,Sam Lewis,2001-03-27,A034,2024-09-18,Corporate
C00565,Rosie Young,2006-08-04,A049,2023-09-07,Corporate
C00566,Morgan White,1976-09-14,A078,2023-12-13,Corporate
C00567,Isla Moore,1967-11-18,A045,2023-02-11,
C00568,Olivia Moore,1981-02-17,A027,2022-10-05,Retail
C00569,Cameron Green,1993-07-05,A073,2021-12-21,Retail
C00570,Alex Lewis,1955-02-21,A026,2023-07-31,Retail
C00571,Riley Smith,1986-08-27,A047,2023-12-28,Private
C00572,Jack Jones,1976-07-31,A056,2022-12-03,Retail
C00573,Jacob Scott,2006-03-13,A063,2024-01-24,Retail
C00574,Mia Young,1992-05-16,A968,2022-12-27,Retail
C00575,Evie Green,1971-10-21,A061,2024-10-16,Retail
C00576,Poppy White,1962-09-06,A026,2025-05-01,Private
C00577,Oliver Harris,2001-12-18,A036,2025-11-12,Private
C00578,Chris Thompson,1987-05-09,A001,2025-01-16,Retail
C00579,Oliver Hall,1961-01-26,A008,2024-10-26,Corporate
C00580,Charlie Taylor,2002-03-12,A052,2024-08-10,Private
C00581,Noah Brown,2003-10-24,A079,2025-07-04,Retail
C00582,Leo Jones,2000-07-07,A047,2024-11-20,
C00583,Cameron Robinson,2000-07-16,A056,2022-06-26,Retail
C00584,Jordan Moore,2004-09-18,A014,2024-06-03,Retail
C00585,Olivia Taylor,1956-10-28,A028,2023-09-19,Corporate
C00586,Taylor Green,1990-01-11,A078,2022-01-29,Retail
C00587,Ava Clarke,1997-03-06,A002,2022-05-20,Private
C00588,Jamie Thompson,1958-11-27,A978,2022-07-26,Retail
C00589,Casey Wright,1989-09-16,A014,2024-02-17,Retail
C00590,Leo Harris,1988-06-28,A059,2022-09-04,Retail
C00591,Grace King,1977-10-03,A056,2022-04-06,Retail
C00592,Jacob Hall,1956-06-16,A007,2022-09-02,Retail
C00593,Evie Wilson,1987-01-14,A003,2025-04-29,Corporate
C00594,Riley Young,1961-01-22,A023,2022-08-15,Retail
C00595,Ella Green,1985-12-07,A018,2024-12-14,Private
C00596,Mia Walker,1976-08-19,A038,2022-03-01,Retail
C00597,Ella Brown,1964-04-19,A015,2024-11-14,Retail
C00598,Amelia Williams,2007-03-16,A064,2024-12-14,Retail
C00599,Casey White,1984-10-30,A028,2023-09-29,Retail
C00600,Rosie Lewis,1966-12-20,A074,2022-10-12,Retail
C00207,Noah D. Smith,1975-04-16,A001,2025-06-11,Private
C00552,Amelia T. Hall,1982-01-07,A019,2023-08-24,Corporate
C00278,Poppy X. Jones,1984-06-08,A034,2024-02-03,Corporate
C00576,Poppy S. White,1962-09-06,A026,2025-05-01,Private
C00279,Poppy H. Smith,1965-10-06,A007,2022-07-17,Private
C00141,Chris H. Thompson,1984-03-04,A002,2025-04-12,Private
